[PAGE 38]
[RUNNING HEAD] 38	A SYNOPSIS OF THE SIPHONOPHORA

[TABLE]
		Page
Sub-order III	Calycophorae cont.
	Family 12.  Diphyidae cont.
	Sub-family ii.  Diphyinae cont.
	D. chamissonis Huxley	156
	D. antarctica Moser	157
	Lensia subtiloides (Lens & van Riemsdijk)	159
	L. leloupi Totton	161
	L. conoidea (Kefferstein & Ehlers)	162
	L. multicristata (Moser)	164
	L. hunter Totton	164
	L. campanella (Moser)	165
	L. cossack Totton	166
	L. challengeri Totton	166
	L. hotspur Totton	167
	L. tottoni Daniel & Daniel	168
	L. subtilis (Chun)	168
	L. subtilis var. chuni nom. nov.	170
	L. meteori (Leloup)	170
	L. achilles Totton	171
	L. lelouveteau Totton	172
	L. reticulata Totton	172
	L. hardy Totton	173
	L. fowleri (Bigelow)	174
	L. havock Totton	175
	L. exeter Totton	176
	L. hostile Totton	177
	L. grimaldi (Leloup)	178
	L. ajax Totton	179
	Muggiaea kochi (Will)	180
	M. atlantica Cunningham	181
	M. bargmannae Totton	183
	M. delsmani Totton	183
	Dimophyes arctica (Chun)	184
	Chelophyes appendiculata (Eschscholtz)	185
	C. contorta (Lens & van Riemsdijk)	187
	Eudoxoides mitra (Huxley)	188
	E. spiralis (Bigelow)	189
	Eudoxia macra Totton	191
	Family 13.  Clausophyidae fam. n.	192
	Clausophyes ovata (Kefferstein & Ehlers)	193
	C. galeata Lens & van Riemsdijk	194
	Chuniphyes multidentata Lens & van Riemsdijk	194
	Ch. moserae Totton	196
	Crystallophyes amygdalina Moser	197
	Heteropyramis maculata Moser	199
	Thalassophyes crystallina Moser	201
	Family 14.  Sphaeronectidae	201
	Sphaeronectes gracilis (Claus)	202
	S. irregularis (Claus)	203
	Family 15.  Abylidae	204
	Sub-family i.  Abylinae	204
	Ceratocymba leuckarti (Huxley)	205
	C. sagittata (Quoy & Gaimard)	206
	C. intermedia Sears	206
	C. dentata (Bigelow)	207
	Abyla trigona Quoy & Gaimard	208
	A. carina Haeckel	210
	A. haeckeli Lens & van Riemsdijk	210
	A. ingeborgae Sears	211
	A. bicarinata Moser	211
	A. schmidti Sears	212
[/TABLE]

[NOTE: contents list continued; leader dots between each name and its page number are omitted here and a single tab substituted.]
